case_id,activity,resource,timestamp,amount_req,log_amount_req,concept
173715,A_SUBMITTED,112,2011-10-01 07:59:10.501000+00:00,45000,10.714439990727769,C5
173715,A_PARTLYSUBMITTED,112,2011-10-01 07:59:10.789000+00:00,45000,10.714439990727769,C5
173715,A_PREACCEPTED,112,2011-10-01 07:59:42.704000+00:00,45000,10.714439990727769,C5
173715,W_Completeren aanvraag,UNKNOWN,2011-10-01 09:46:06.342000+00:00,45000,10.714439990727769,C5
173715,A_ACCEPTED,10912,2011-10-01 10:24:32.787000+00:00,45000,10.714439990727769,C5
173715,O_SELECTED,10912,2011-10-01 10:30:20.556000+00:00,45000,10.714439990727769,C5
173715,A_FINALIZED,10912,2011-10-01 10:30:20.556000+00:00,45000,10.714439990727769,C5
173715,O_CREATED,10912,2011-10-01 10:30:21.780000+00:00,45000,10.714439990727769,C5
173715,O_SENT,10912,2011-10-01 10:30:21.806000+00:00,45000,10.714439990727769,C5
173715,W_Completeren aanvraag,10912,2011-10-01 10:30:24.155000+00:00,45000,10.714439990727769,C5
173715,W_Nabellen offertes,10913,2011-10-08 14:38:17.372000+00:00,45000,10.714439990727769,C5
173715,O_SENT_BACK,10899,2011-10-10 10:54:03.401000+00:00,45000,10.714439990727769,C5
173715,W_Nabellen offertes,10899,2011-10-10 10:54:04.785000+00:00,45000,10.714439990727769,C5
173715,A_DECLINED,10138,2011-10-13 09:05:24.620000+00:00,45000,10.714439990727769,C5
173715,O_DECLINED,10138,2011-10-13 09:05:24.620000+00:00,45000,10.714439990727769,C5
173715,W_Valideren aanvraag,10138,2011-10-13 09:05:28.082000+00:00,45000,10.714439990727769,C5
173721,A_SUBMITTED,112,2011-10-01 09:07:34.279000+00:00,9000,9.105090961257085,C5
173721,A_PARTLYSUBMITTED,112,2011-10-01 09:07:34.928000+00:00,9000,9.105090961257085,C5
173721,A_PREACCEPTED,112,2011-10-01 09:08:17.093000+00:00,9000,9.105090961257085,C5
173721,A_ACCEPTED,10939,2011-10-01 09:18:36.318000+00:00,9000,9.105090961257085,C5
173721,O_SELECTED,10939,2011-10-01 09:20:47.605000+00:00,9000,9.105090961257085,C5
173721,A_FINALIZED,10939,2011-10-01 09:20:47.605000+00:00,9000,9.105090961257085,C5
