case:concept:name;concept:name;org:resource;time:timestamp;relative_timestamp_from_start;AMOUNT_REQ;case:label
GEN0;A_SUBMITTED-COMPLETE;112;2012-04-19 22:28:54;107403.8203125;51065.26171875;not_approved
GEN0;A_PARTLYSUBMITTED-COMPLETE;112;2012-04-19 22:28:55;107403.8203125;51065.26171875;not_approved
GEN0;A_PREACCEPTED-COMPLETE;112;2012-04-19 22:29:18;107403.8203125;51065.26171875;not_approved
GEN0;W_Beoordelen fraude-SCHEDULE;112;2012-04-19 22:29:18;107403.8203125;51065.26171875;not_approved
GEN0;W_Completeren aanvraag-START;10909;2012-04-19 23:14:04;107403.8203125;51065.26171875;not_approved
GEN0;W_Completeren aanvraag-COMPLETE;10188;2012-04-19 23:21:05;107403.8203125;51065.26171875;not_approved
GEN0;W_Completeren aanvraag-START;11181;2012-04-20 03:12:18;107403.8203125;51065.26171875;not_approved
GEN0;W_Completeren aanvraag-COMPLETE;11201;2012-04-20 03:14:47;107403.8203125;51065.26171875;not_approved
GEN0;O_CREATED-COMPLETE;11189;2012-04-20 03:14:48;107403.8203125;51065.26171875;not_approved
GEN1;A_SUBMITTED-COMPLETE;112;2012-04-20 18:50:47;108625.6953125;50889.33203125;not_approved
GEN1;A_PARTLYSUBMITTED-COMPLETE;112;2012-04-20 18:50:47;108625.6953125;50889.33203125;not_approved
GEN1;A_PREACCEPTED-COMPLETE;112;2012-04-20 18:51:14;108625.6953125;50889.33203125;not_approved
GEN1;W_Nabellen offertes-SCHEDULE;112;2012-04-20 18:51:14;108625.6953125;50889.33203125;not_approved
GEN1;A_ACCEPTED-COMPLETE;11319;2012-04-21 08:57:37;108625.6953125;50889.33203125;not_approved
GEN1;A_PARTLYSUBMITTED-COMPLETE;11119;2012-04-21 09:00:09;108625.6953125;50889.33203125;not_approved
GEN2;A_SUBMITTED-COMPLETE;112;2012-04-23 02:27:29;111962.390625;51903.67578125;not_approved
GEN2;A_PARTLYSUBMITTED-COMPLETE;112;2012-04-23 02:27:29;111962.390625;51903.67578125;not_approved
GEN2;A_PARTLYSUBMITTED-COMPLETE;112;2012-04-23 02:28:11;111962.390625;51903.67578125;not_approved
GEN2;W_Afhandelen leads-START;10929;2012-04-23 04:07:07;111962.390625;51903.67578125;not_approved
GEN2;W_Completeren aanvraag-START;10935;2012-04-23 05:51:12;111962.390625;51903.67578125;not_approved
GEN2;A_PREACCEPTED-COMPLETE;10910;2012-04-23 05:52:11;111962.390625;51903.67578125;not_approved
GEN2;W_Beoordelen fraude-SCHEDULE;10910;2012-04-23 05:52:11;111962.390625;51903.67578125;not_approved
GEN2;W_Afhandelen leads-COMPLETE;11189;2012-04-23 05:52:12;111962.390625;51903.67578125;not_approved
GEN2;W_Nabellen incomplete dossiers-SCHEDULE;11079;2012-04-23 07:12:23;111962.390625;51903.67578125;not_approved
GEN2;W_Completeren aanvraag-COMPLETE;11180;2012-04-23 07:18:41;111962.390625;51903.67578125;not_approved
GEN2;W_Completeren aanvraag-START;11304;2012-04-23 11:30:18;111962.390625;51903.67578125;not_approved
GEN2;A_ACCEPTED-COMPLETE;11189;2012-04-23 11:31:49;111962.390625;51903.67578125;not_approved
GEN2;A_FINALIZED-COMPLETE;11181;2012-04-23 11:31:51;111962.390625;51903.67578125;not_approved
GEN2;W_Completeren aanvraag-SCHEDULE;11181;2012-04-23 11:31:52;111962.390625;51903.67578125;not_approved
GEN2;O_SENT-COMPLETE;11189;2012-04-23 11:31:53;111962.390625;51903.67578125;not_approved
GEN2;A_PARTLYSUBMITTED-COMPLETE;11189;2012-04-23 11:31:54;111962.390625;51903.67578125;not_approved
GEN2;W_Nabellen offertes-SCHEDULE;11203;2012-04-23 11:31:54;111962.390625;51903.67578125;not_approved
GEN2;W_Completeren aanvraag-COMPLETE;11121;2012-04-23 11:31:55;111962.390625;51903.67578125;not_approved
GEN2;W_Nabellen offertes-START;10931;2012-04-28 18:24:26;111962.390625;51903.67578125;not_approved
GEN2;W_Nabellen offertes-COMPLETE;10931;2012-04-28 18:28:42;111962.390625;51903.67578125;not_approved
GEN2;W_Nabellen offertes-START;10899;2012-05-03 06:59:43;111962.390625;51903.67578125;not_approved
GEN2;W_Nabellen offertes-COMPLETE;10982;2012-05-03 07:06:43;111962.390625;51903.67578125;not_approved
GEN2;W_Nabellen offertes-START;10982;2012-05-06 22:34:01;111962.390625;51903.67578125;not_approved
GEN2;W_Nabellen offertes-COMPLETE;11201;2012-05-06 22:38:56;111962.390625;51903.67578125;not_approved
GEN2;W_Nabellen offertes-START;11009;2012-05-07 20:20:03;111962.390625;51903.67578125;not_approved
GEN2;W_Nabellen offertes-COMPLETE;11180;2012-05-07 20:21:55;111962.390625;51903.67578125;not_approved
GEN2;W_Nabellen offertes-START;10862;2012-05-09 09:01:50;111962.390625;51903.67578125;not_approved
GEN2;A_FINALIZED-COMPLETE;11169;2012-05-09 09:07:32;111962.390625;51903.67578125;not_approved
GEN2;O_SENT_BACK-COMPLETE;11049;2012-05-11 22:49:29;111962.390625;51903.67578125;not_approved
GEN2;W_Nabellen offertes-COMPLETE;10929;2012-05-11 22:49:30;111962.390625;51903.67578125;not_approved
GEN2;W_Nabellen incomplete dossiers-SCHEDULE;10138;2012-05-12 12:34:27;111962.390625;51903.67578125;not_approved
GEN2;W_Beoordelen fraude-SCHEDULE;10629;2012-05-12 13:12:23;111962.390625;51903.67578125;not_approved
GEN2;O_DECLINED-COMPLETE;10609;2012-05-12 13:12:23;111962.390625;51903.67578125;not_approved
GEN3;A_SUBMITTED-COMPLETE;112;2012-04-20 22:20:45;108835.671875;50621.94140625;not_approved
GEN3;A_PARTLYSUBMITTED-COMPLETE;112;2012-04-20 22:20:46;108835.671875;50621.94140625;not_approved
GEN3;A_PREACCEPTED-COMPLETE;112;2012-04-20 22:21:18;108835.671875;50621.94140625;not_approved
GEN3;O_CREATED-COMPLETE;112;2012-04-20 22:21:19;108835.671875;50621.94140625;not_approved
GEN3;W_Completeren aanvraag-START;11169;2012-04-20 22:37:34;108835.671875;50621.94140625;not_approved
GEN3;W_Completeren aanvraag-COMPLETE;11299;2012-04-20 22:39:55;108835.671875;50621.94140625;not_approved
GEN3;W_Completeren aanvraag-START;11203;2012-04-20 22:56:36;108835.671875;50621.94140625;not_approved
GEN3;A_FINALIZED-COMPLETE;10910;2012-04-20 22:56:36;108835.671875;50621.94140625;not_approved
GEN3;O_CREATED-COMPLETE;11120;2012-04-20 22:56:37;108835.671875;50621.94140625;not_approved
GEN3;O_SENT-COMPLETE;10228;2012-04-20 22:56:37;108835.671875;50621.94140625;not_approved
GEN3;W_Nabellen offertes-SCHEDULE;UNKNOWN;2012-04-20 22:56:37;108835.671875;50621.94140625;not_approved
GEN3;W_Completeren aanvraag-COMPLETE;UNKNOWN;2012-04-20 22:56:37;108835.671875;50621.94140625;not_approved
GEN3;W_Nabellen offertes-START;11003;2012-04-24 08:19:18;108835.671875;50621.94140625;not_approved
GEN3;W_Completeren aanvraag-SCHEDULE;10609;2012-04-24 08:20:43;108835.671875;50621.94140625;not_approved
GEN3;A_DECLINED-COMPLETE;11189;2012-04-24 08:20:43;108835.671875;50621.94140625;not_approved
GEN3;W_Nabellen offertes-COMPLETE;10859;2012-04-24 08:21:01;108835.671875;50621.94140625;not_approved
GEN4;A_SUBMITTED-COMPLETE;112;2012-04-18 04:36:12;104891.1171875;50289.4296875;not_approved
GEN4;A_PARTLYSUBMITTED-COMPLETE;112;2012-04-18 04:36:13;104891.1171875;50289.4296875;not_approved
GEN4;A_PREACCEPTED-COMPLETE;112;2012-04-18 04:36:44;104891.1171875;50289.4296875;not_approved
GEN4;W_Completeren aanvraag-SCHEDULE;112;2012-04-18 04:36:45;104891.1171875;50289.4296875;not_approved
GEN4;W_Completeren aanvraag-START;11009;2012-04-18 04:38:34;104891.1171875;50289.4296875;not_approved
GEN4;A_ACCEPTED-COMPLETE;11122;2012-04-18 04:40:50;104891.1171875;50289.4296875;not_approved
GEN4;O_DECLINED-COMPLETE;UNKNOWN;2012-04-18 04:47:11;104891.1171875;50289.4296875;not_approved
GEN4;W_Completeren aanvraag-COMPLETE;10124;2012-04-18 04:48:48;104891.1171875;50289.4296875;not_approved
GEN4;A_FINALIZED-COMPLETE;11200;2012-04-18 04:50:58;104891.1171875;50289.4296875;not_approved
GEN4;W_Completeren aanvraag-SCHEDULE;UNKNOWN;2012-04-18 04:51:00;104891.1171875;50289.4296875;not_approved
GEN4;W_Completeren aanvraag-START;10889;2012-04-18 21:10:26;104891.1171875;50289.4296875;not_approved
GEN4;W_Completeren aanvraag-COMPLETE;11189;2012-04-18 21:17:26;104891.1171875;50289.4296875;not_approved
GEN4;O_SELECTED-COMPLETE;11189;2012-04-18 21:19:05;104891.1171875;50289.4296875;not_approved
GEN4;A_FINALIZED-COMPLETE;11181;2012-04-18 21:19:05;104891.1171875;50289.4296875;not_approved
GEN4;O_CREATED-COMPLETE;10972;2012-04-18 21:19:07;104891.1171875;50289.4296875;not_approved
GEN4;O_SENT-COMPLETE;10932;2012-04-18 21:19:07;104891.1171875;50289.4296875;not_approved
GEN4;W_Nabellen offertes-SCHEDULE;UNKNOWN;2012-04-18 21:19:07;104891.1171875;50289.4296875;not_approved
GEN4;O_DECLINED-COMPLETE;UNKNOWN;2012-04-18 21:19:08;104891.1171875;50289.4296875;not_approved
GEN4;W_Nabellen offertes-START;UNKNOWN;2012-04-24 07:14:04;104891.1171875;50289.4296875;not_approved
GEN4;W_Nabellen offertes-COMPLETE;UNKNOWN;2012-04-24 07:15:38;104891.1171875;50289.4296875;not_approved
GEN4;W_Nabellen offertes-START;11119;2012-04-29 05:24:21;104891.1171875;50289.4296875;not_approved
GEN4;W_Nabellen offertes-COMPLETE;10861;2012-04-29 05:30:58;104891.1171875;50289.4296875;not_approved
GEN4;O_SENT-COMPLETE;10982;2012-04-29 05:30:58;104891.1171875;50289.4296875;not_approved
GEN4;O_SENT_BACK-COMPLETE;UNKNOWN;2012-04-29 05:31:22;104891.1171875;50289.4296875;not_approved
GEN4;W_Valideren aanvraag-SCHEDULE;UNKNOWN;2012-04-29 05:31:22;104891.1171875;50289.4296875;not_approved
GEN4;O_SENT_BACK-COMPLETE;UNKNOWN;2012-04-29 05:31:23;104891.1171875;50289.4296875;not_approved
GEN4;A_DECLINED-COMPLETE;UNKNOWN;2012-05-03 21:54:11;104891.1171875;50289.4296875;not_approved
GEN4;O_DECLINED-COMPLETE;10609;2012-05-03 22:03:20;104891.1171875;50289.4296875;not_approved
GEN4;W_Beoordelen fraude-SCHEDULE;10609;2012-05-03 22:03:20;104891.1171875;50289.4296875;not_approved
GEN5;A_SUBMITTED-COMPLETE;112;2012-04-21 07:59:51;109414.765625;49503.37109375;not_approved
GEN5;A_PARTLYSUBMITTED-COMPLETE;112;2012-04-21 07:59:51;109414.765625;49503.37109375;not_approved
GEN5;A_PREACCEPTED-COMPLETE;112;2012-04-21 08:00:11;109414.765625;49503.37109375;not_approved
GEN5;W_Completeren aanvraag-SCHEDULE;112;2012-04-21 08:00:12;109414.765625;49503.37109375;not_approved
GEN5;W_Completeren aanvraag-START;10935;2012-04-21 12:26:09;109414.765625;49503.37109375;not_approved
GEN5;A_ACCEPTED-COMPLETE;11181;2012-04-21 12:33:12;109414.765625;49503.37109375;not_approved
GEN5;W_Nabellen offertes-SCHEDULE;10932;2012-04-21 12:38:09;109414.765625;49503.37109375;not_approved
GEN5;O_SELECTED-COMPLETE;11169;2012-04-21 12:38:09;109414.765625;49503.37109375;not_approved
GEN5;O_CREATED-COMPLETE;10939;2012-04-21 12:38:10;109414.765625;49503.37109375;not_approved
GEN5;O_SENT-COMPLETE;10861;2012-04-21 12:38:10;109414.765625;49503.37109375;not_approved
GEN5;W_Nabellen offertes-SCHEDULE;10910;2012-04-21 12:38:10;109414.765625;49503.37109375;not_approved
GEN5;W_Completeren aanvraag-COMPLETE;11049;2012-04-21 12:38:12;109414.765625;49503.37109375;not_approved
GEN5;W_Nabellen offertes-START;UNKNOWN;2012-04-25 20:14:53;109414.765625;49503.37109375;not_approved
GEN5;W_Nabellen offertes-COMPLETE;UNKNOWN;2012-04-25 20:19:59;109414.765625;49503.37109375;not_approved
GEN5;W_Nabellen offertes-START;10789;2012-04-26 11:11:51;109414.765625;49503.37109375;not_approved
GEN5;O_SENT_BACK-COMPLETE;10913;2012-04-26 11:14:43;109414.765625;49503.37109375;not_approved
GEN5;A_ACCEPTED-COMPLETE;11201;2012-04-28 01:40:51;109414.765625;49503.37109375;not_approved
GEN5;O_SENT_BACK-COMPLETE;11000;2012-04-28 01:42:26;109414.765625;49503.37109375;not_approved
GEN5;W_Valideren aanvraag-SCHEDULE;10899;2012-04-28 01:42:26;109414.765625;49503.37109375;not_approved
GEN5;W_Nabellen offertes-COMPLETE;UNKNOWN;2012-04-28 01:42:27;109414.765625;49503.37109375;not_approved
GEN5;W_Valideren aanvraag-START;11001;2012-04-28 01:42:38;109414.765625;49503.37109375;not_approved
GEN5;W_Valideren aanvraag-SCHEDULE;10124;2012-05-02 13:56:32;109414.765625;49503.37109375;not_approved
GEN5;W_Nabellen incomplete dossiers-SCHEDULE;10629;2012-05-06 21:11:05;109414.765625;49503.37109375;not_approved
GEN5;O_SENT_BACK-COMPLETE;11181;2012-05-06 21:11:17;109414.765625;49503.37109375;not_approved
GEN5;O_SENT-COMPLETE;10138;2012-05-07 00:32:18;109414.765625;49503.37109375;not_approved
GEN5;W_Valideren aanvraag-COMPLETE;10972;2012-05-07 00:32:20;109414.765625;49503.37109375;not_approved
GEN6;A_SUBMITTED-COMPLETE;112;2012-04-18 06:47:18;105022.21875;48631.4296875;not_approved
GEN6;A_PARTLYSUBMITTED-COMPLETE;112;2012-04-18 06:47:19;105022.21875;48631.4296875;not_approved
GEN6;W_Afhandelen leads-SCHEDULE;112;2012-04-18 06:47:55;105022.21875;48631.4296875;not_approved
GEN6;A_PREACCEPTED-COMPLETE;UNKNOWN;2012-04-18 07:08:15;105022.21875;48631.4296875;not_approved
GEN6;W_Completeren aanvraag-SCHEDULE;11000;2012-04-18 07:12:59;105022.21875;48631.4296875;not_approved
GEN6;O_CREATED-COMPLETE;11002;2012-04-18 07:12:59;105022.21875;48631.4296875;not_approved
GEN6;W_Completeren aanvraag-START;11181;2012-04-18 07:12:59;105022.21875;48631.4296875;not_approved
GEN6;W_Nabellen offertes-SCHEDULE;UNKNOWN;2012-04-18 18:20:26;105022.21875;48631.4296875;not_approved
GEN6;O_DECLINED-COMPLETE;10932;2012-04-18 18:20:26;105022.21875;48631.4296875;not_approved
GEN6;W_Completeren aanvraag-COMPLETE;10910;2012-04-18 18:20:27;105022.21875;48631.4296875;not_approved
GEN6;W_Completeren aanvraag-START;UNKNOWN;2012-04-19 19:55:59;105022.21875;48631.4296875;not_approved
GEN6;W_Completeren aanvraag-COMPLETE;UNKNOWN;2012-04-19 19:56:19;105022.21875;48631.4296875;not_approved
GEN6;W_Completeren aanvraag-START;11122;2012-04-19 22:28:46;105022.21875;48631.4296875;not_approved
GEN6;W_Completeren aanvraag-COMPLETE;UNKNOWN;2012-04-19 22:29:32;105022.21875;48631.4296875;not_approved
GEN6;W_Completeren aanvraag-START;UNKNOWN;2012-04-20 02:38:31;105022.21875;48631.4296875;not_approved
GEN6;A_ACCEPTED-COMPLETE;UNKNOWN;2012-04-20 02:47:18;105022.21875;48631.4296875;not_approved
GEN6;O_DECLINED-COMPLETE;UNKNOWN;2012-04-20 05:17:11;105022.21875;48631.4296875;not_approved
GEN6;W_Nabellen incomplete dossiers-SCHEDULE;UNKNOWN;2012-04-20 05:21:01;105022.21875;48631.4296875;not_approved
GEN6;A_DECLINED-COMPLETE;10931;2012-04-20 05:39:49;105022.21875;48631.4296875;not_approved
GEN6;W_Valideren aanvraag-START;UNKNOWN;2012-04-20 20:57:00;105022.21875;48631.4296875;not_approved
GEN6;W_Completeren aanvraag-COMPLETE;11289;2012-04-20 22:43:18;105022.21875;48631.4296875;not_approved
GEN6;W_Completeren aanvraag-START;UNKNOWN;2012-04-20 22:43:18;105022.21875;48631.4296875;not_approved
GEN6;W_Completeren aanvraag-COMPLETE;UNKNOWN;2012-04-20 22:43:18;105022.21875;48631.4296875;not_approved
GEN6;W_Completeren aanvraag-START;UNKNOWN;2012-04-20 22:43:35;105022.21875;48631.4296875;not_approved
GEN6;W_Completeren aanvraag-COMPLETE;UNKNOWN;2012-04-20 22:43:38;105022.21875;48631.4296875;not_approved
GEN6;W_Completeren aanvraag-START;11001;2012-04-21 00:15:01;105022.21875;48631.4296875;not_approved
GEN6;A_FINALIZED-COMPLETE;UNKNOWN;2012-04-21 00:15:02;105022.21875;48631.4296875;not_approved
GEN6;O_CREATED-COMPLETE;10188;2012-04-21 16:13:16;105022.21875;48631.4296875;not_approved
GEN6;W_Completeren aanvraag-COMPLETE;UNKNOWN;2012-04-21 16:13:16;105022.21875;48631.4296875;not_approved
GEN6;W_Completeren aanvraag-START;11200;2012-04-21 16:13:17;105022.21875;48631.4296875;not_approved
GEN6;O_SENT_BACK-COMPLETE;11189;2012-04-21 16:13:40;105022.21875;48631.4296875;not_approved
GEN6;W_Valideren aanvraag-SCHEDULE;11189;2012-04-21 18:16:35;105022.21875;48631.4296875;not_approved
GEN6;O_SENT-COMPLETE;11079;2012-04-21 18:17:06;105022.21875;48631.4296875;not_approved
GEN6;A_CANCELLED-COMPLETE;11203;2012-04-21 18:17:07;105022.21875;48631.4296875;not_approved
GEN6;W_Completeren aanvraag-COMPLETE;11121;2012-04-21 18:17:08;105022.21875;48631.4296875;not_approved
GEN6;O_CREATED-COMPLETE;10932;2012-04-24 12:02:21;105022.21875;48631.4296875;not_approved
